id::link::source::type::title::summary::content::publishDate::tags::author::category::image
1::https://ambcrypto.com/ethereums-transaction-size-falls-54-why-its-not-bad-news-for-eth/::AMBCrypto::article::Ethereum’s transaction size falls 54%: Why it’s not bad news for ETH::If exchange withdrawals grow, amid other things, ETH could see a gradual rise to $3,500.::If exchange withdrawals grow, amid other things, ETH could see a gradual rise to $3,500.  On the 19th of May, AMBCrypto observed that Ethereum’s [ETH] average transaction size had fallen to $2,767. This was a 54.13% decline from the metric when the month began. At that time, the average transaction size was $5,893, according to data from IntoTheBlock. For the uninitiated, the average transaction size checks in dollar terms the mean transaction value for an asset on a particular day.  Historically, spikes in this metric signal high user activity—Especially from large investors and institutions. But when it decreases, it implies an absence of institutional interaction. As such, the recent state of Ethereum implies a presence of more retail users. Apart from that, this indicator identifies potential tops and bottoms. From the value mentioned, it was obvious that ETH seemed closer to its bottom than the top. At press time, ETH’s price was $3,106, indicating that it had swung around the same range in the last 24 hours. Source: IntoTheBlock Going by the analysis above, the price of the cryptocurrency could be set to hit a higher value in the short term. However, other metrics need to be considered. As a result of this, AMBCrypto looked at the Ethereum Exchange Net Position Change. According to data obtained from Glassnode, the Exchange Net Position Change has been in the negative region for most of the last 30 days. This metric tracks the 30-day change of the supply held in exchange wallets. A positive value indicates that more coins are in exchanges. On the other hand, a negative value indicates increased withdrawals from exchanges. One thing we noticed was that the metric suddenly became positive on the 18th of May. As of this writing, the ETH net position change was 81,715. This increase could be a sign that Ethereum participants are taking profits off the 6.50% increase within the last week. If this number continues to increase, then ETH’s price might decrease below $3,000 before the potential rally happens. Source: Santiment However, if exchange withdrawals intensify once more, the price might begin a slow increase toward $3,500. In a highly bullish situation, an increase to $4,000 could be an option. On Friday, the 17th of May, AMBCrypto reported how options traders were expecting ETH’s price to hit $3,600 between May and the end of June. At press time, Glassnode data showed that the sentiment had not changed. This is because of the signals from the Put/Call Ratio (PCR). Is your portfolio green? Check the Ethereum Profit Calculator If the PCR is over 0.70, it implies a bearish sentiment and there are more puts than calls. However, a reading below 0.50 implies otherwise. At press time, Ethereum’s Put/Call Ratio was 0.35, meaning that most traders expect the value of the cryptocurrency to increase in the coming weeks.  ::2024-05-19T12:00:42::N/A::Victor Olanrewaju::Ethereum::https://ambcrypto.com/wp-content/uploads/2024/05/ethereum-news-and-price-size-1000x600.webp
2::https://ambcrypto.com/ethereum-sets-sights-on-4k-will-this-spark-a-new-rally-for-eth/::AMBCrypto::article::Ethereum sets sights on $4K: Will THIS spark a new rally for ETH?::Ethereum broke above a falling wedge pattern that might result in a 50% price rise in coming days. ::Ethereum broke above a falling wedge pattern that might result in a 50% price rise in coming days.  Ethereum [ETH] caught investors off guard as its price gained bullish momentum on the 17th of May. While the token’s price moved up, it broke above a bullish pattern that could allow the king of altcoins to touch $4k in the coming days or weeks. CoinMarketCap’s data revealed that ETH investors enjoyed profits last week, as the token’s price had surged by more than 6%.  Things heated up in the last few hours as ETH’s value increased by over 2.6% over the last day. At the time of writing, ETH was trading at $3,108.31 with a market capitalization of over $373 billion. The bullish price action had a positive impact on the token’s social metrics, as its Social Volume remained high last week. Its Weighted Sentiment also entered the positive zone, meaning the bullish sentiment around ETH became dominant in the market. Source: Santiment Thanks to the price uptick, ETH broke above a bullish pattern that hinted at a price rise towards $4k. World Of Charts, a popular crypto analyst, recently posted a tweet highlighting that ETH broke out of a falling wedge pattern. The pattern appeared on ETH’s chart during the beginning of March, and since then, ETH has consolidated inside it. The tweet mentioned that the breakout could result in a 50% price rise, in turn allowing Ethereum to reclaim $4k once again. AMBCrypto then analyzed ETH’s metrics to see whether they support the possibility of it touching $4k anytime soon. Our analysis of CryptoQuant’s data revealed that ETH’s net deposit on exchanges was low compared to the last seven days’ average, signifying less selling pressure. Source: CryptoQuant Another positive metric was the Coinbase premium, as it indicated that buying sentiment was dominant among U.S. investors. However, not everything looked bullish for the king of altcoins. AMBCrypto’s look at Glassnode’s data revealed that ETH’s Network To Value (NVT) ratio registered a sharp uptick. A rise in the metric suggests that an asset is overvalued, hinting at a price decline. Source: Glassnode Ethereum’s Money Flow Index (MFI) also indicated a possible price correction as the indicator registered a decline. Nonetheless, the MACD displayed a bullish crossover. The Chaikin Money Flow (CMF) also supported the bulls as it went northward. Source: TradingView Read Ethereum (ETH) Price Prediction 2024-25 To see what targets it might reach if its bull rally sustains, AMBCrypto analyzed Hyblock Capital’s data. We found that ETH’s liquidation would rise near the $3.2k zone. A successful breakout above that would allow it to reach $3.5k in the coming days before it targets $4k. However, if ETH’s price turns bearish, then its value might plummet to $2.85k. Source: Hyblock Capital  ::2024-05-18T22:00:32::N/A::Dipayan Mitra::Ethereum::https://ambcrypto.com/wp-content/uploads/2024/05/Ethereum-turns-bullish-1000x600.webp
3::https://ambcrypto.com/bitcoin-fees-hit-3-month-low-a-12m-drop-explained/::AMBCrypto::article::Bitcoin fees hit 3-month low: A $12M drop, explained::The reduced demand for the Bitcoin network post-halving has led to a significant drop in its fees. ::The reduced demand for the Bitcoin network post-halving has led to a significant drop in its fees.  Bitcoin [BTC] network fees have fallen to a record low as the Layer 1 (L1) transaction volume continues to decline. In a post on X (formerly Twitter), on-chain data provider IntoTheBlock noted that transaction fees on the Bitcoin network plunged to their lowest level in three months this week. Recording a weekly transaction fee totaling $12 million, the network saw a 45% decline from the previous week.  This week’s decline in the Bitcoin network’s fee is due to the decrease in its transaction volume. According to Santiment’s data, the aggregate amount of BTC across all transactions completed on the network fell steadily during the week. Between the 11th and the 17th of May, Bitcoin’s transaction volume plummeted by 5%. Source: Santiment The average fee paid per transaction dropped as the network saw a decline in demand. According to Messari, this decreased by 17% during the period under review. At press time, the average cost of executing a transaction on the Bitcoin network was $2.56. The miners on Bitcoin’s network are the primary victims of its low network fees. After the percentage of miner revenue derived from transaction fees rallied to a year-to-date high of 75% on the 20th of April, post-halving event, it has since declined significantly. Source: Messari As of this writing, only 4% of miner revenue is derived from the fees paid by Bitcoin’s users. This marked a 95% decline from the YTD high, per Messari’s data. Low revenue and BTC’s recent price troubles have forced some miners to sell their holdings. AMBCrypto assessed Bitcoin’s Miner Supply Ratio and found that it has fallen by 0.21% since the halving event. This metric measures miners’ BTC holdings relative to the coin’s total supply. When it declines this way, miners are selling a larger portion of their mined coins. This is often due to capitulation from high operational costs, the desire to take profit, or a lack of confidence in the coin’s price. Is your portfolio green? Check out the BTC Profit Calculator BTC sell-offs among miners on its network have led to a depletion of the coin’s Miner Reserve. This measures the amount of coins held in miners’ wallets within a specified period. Source: CryptoQuant According to CryptoQuant’s data, BTC’s Miner Reserve, at 1.81 million at press time, has dropped by 1% since the 25th of April.  ::2024-05-18T20:00:36::N/A::Abiodun Oladokun::Bitcoin::https://ambcrypto.com/wp-content/uploads/2024/05/Bitcoin-10-1000x600.png
4::https://ambcrypto.com/wif-pepe-doge-dominate-as-memecoins-surge-114-whats-next/::AMBCrypto::article::WIF, PEPE DOGE dominate as memecoins surge 114%: What’s next?::The memecoin sector has experienced remarkable growth since the beginning of the year.





::The memecoin sector has experienced remarkable growth since the beginning of the year.  The memecoin space has seen the highest growth across all crypto sectors. According to recent data provided by Artemis, the sector is up by 114% YTD. The popularity and growth of WIF, PEPE and DOGE has had a lot to do with the growth of the memecoin sector. Notably, this sector beat Centralized Exchange tokens, DePIN tokens, and even AI tokens. Source: Artemis However, things could take a turn for the worse for these memecoins in the future.  AMBCrypto’s analysis of Santiment’s data revealed that the social volume for WIF and DOGE had declined significantly over the past month. A fall in popularity could mean a fall in price for these tokens. As other memecoins such as TRUMP and BODEN begin taking center stage on social media platforms, tokens such as WIF and DOGE risk losing market share. These memecoins would need to regain popularity on social networks to keep their price momentum positive. PEPE, on the other hand, did witness a spike in Social Volume over the past few days, which suggested that it had managed to stay relevant on social media platforms despite other entrants in the market. Source: Santiment In terms of sentiment, there was a similar pattern observed. The Weighted Sentiment for WIF and DOGE declined materially, indicating that criticisms of these tokens across social media platforms were on the rise. However, PEPE continued to show consistent growth in this department, indicating that the overall perspective around the memecoin was positive. Source: Santiment In terms of network growth, PEPE showed improvements as well over the last few days, indicating that new addresses were starting to show interest in the coin. DOGE saw a surge in velocity over the last few days, implying an uptick in the frequency of transactions, whereas WIF observed a similar uptick in terms of transaction volume. Source: Santiment In terms of price movement, over the last week, DOGE and PEPE have managed to perform positively. However, WIF, the newer entrant in the market, has failed to do so. PEPE witnessed a growth of 14.98% over the past week, whereas DOGE surged by 3% during the same period. WIF, on the other hand, saw a decline of 10% during this period. Source: Santiment  ::2024-05-18T06:00:25::N/A::Himalay Patel::Memecoins::https://ambcrypto.com/wp-content/uploads/2024/05/meme-him-1000x600.webp
